,Tract,Total_households,With_a_computer,With_a_broadband_Internet_subscription,prop_computer,prop_broadband
1,2.01,2308,2192,1604,0.949740035,0.694974003
2,2.02,1860,1860,1443,1,0.775806452
3,3.01,1952,1914,1707,0.980532787,0.874487705
4,3.02,1363,1346,1052,0.987527513,0.771826853
5,4,2341,2288,2141,0.977360103,0.914566425
6,5,2796,2686,2480,0.960658083,0.886981402
7,6,1734,1589,1055,0.916378316,0.608419839
8,7,2512,2422,1922,0.964171975,0.765127389
9,8.06,1491,1491,1144,1,0.767270288
10,8.08,1699,1693,1544,0.996468511,0.908769865
11,8.09,791,791,720,1,0.910240202
12,9.01,237,237,71,1,0.299578059
13,9.02,164,164,111,1,0.676829268
14,10,3509,3484,3306,0.992875463,0.94214876
15,11,2940,2887,2835,0.981972789,0.964285714
16,12.01,1358,1249,1225,0.919734904,0.902061856
17,12.02,3217,3095,3034,0.962076469,0.943114703
18,12.03,1619,1617,1508,0.99876467,0.93143916
19,14,896,888,677,0.991071429,0.755580357
20,15.14,1080,1068,936,0.988888889,0.866666667
21,15.15,2932,2901,2312,0.989427012,0.788540246
22,15.16,1562,1499,1381,0.959667093,0.884122919
23,15.17,2597,2597,2251,1,0.866769349
24,15.19,882,882,822,1,0.931972789
25,15.22,4386,4099,3603,0.934564523,0.821477428
26,16.05,4022,4022,3301,1,0.820735952
27,17.01,3402,3180,2876,0.934744268,0.845385068
28,17.02,2361,2263,2275,0.958492164,0.963574756
29,18.02,1192,1050,1090,0.880872483,0.91442953
30,18.03,2802,2781,2625,0.992505353,0.936830835
31,18.11,3147,3132,3063,0.995233556,0.973307912
32,18.13,1648,1626,1639,0.986650485,0.994538835
33,18.15,792,776,718,0.97979798,0.906565657
34,18.16,1990,1934,1934,0.971859296,0.971859296
35,18.17,2111,1931,1891,0.914732354,0.895783989
36,18.18,1675,1592,1514,0.950447761,0.903880597
37,18.19,2216,2216,1841,1,0.830776173
38,19.02,1361,1273,959,0.935341661,0.704628949
39,19.07,1237,1167,1022,0.943411479,0.826192401
40,19.08,2159,1876,1820,0.868920797,0.842982862
41,20.01,653,644,538,0.986217458,0.82388974
42,20.02,1613,1494,1452,0.926224427,0.900185989
43,21.01,885,865,756,0.97740113,0.854237288
44,21.02,531,423,365,0.796610169,0.687382298
45,22.01,2364,2364,2255,1,0.953891709
46,22.02,2553,2485,2337,0.973364669,0.915393655
47,22.04,5356,5154,4852,0.962285288,0.905899925
48,22.07,1455,1449,1395,0.995876289,0.958762887
49,22.08,1103,1103,1082,1,0.980961015
50,22.09,3446,3357,3143,0.974172954,0.912071967
51,22.10,2024,1990,2006,0.983201581,0.991106719
52,22.17,2967,2936,2569,0.989551736,0.865857769
53,22.18,1495,1495,1268,1,0.848160535
54,22.19,2774,2678,2469,0.965392934,0.890050469
55,22.20,1044,998,946,0.955938697,0.906130268
56,22.21,2304,2304,2290,1,0.993923611
57,22.22,2980,2980,2980,1,1
58,1108,898,870,674,0.968819599,0.750556793
